ID,Year,Player,Pos,Height,Experience,Weight,BMI,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,AST/TOV,STL/TOV,TOV,PF,PTS
23166,2015,Amir Johnson,PF,202.5,9,108,26.33744856,27,TOR,75,72,1979,15.4,0.603,0.089,0.249,9.3,17.3,13.3,9.4,1.1,2.4,16,15.7,,3.5,1.6,5.1,0.124,,0.8,1,1.8,1.9,298,519,0.574,19,46,0.413,279,473,0.59,0.592,79,129,0.612,159,297,456,117,44,59,1.06,0.4,110,225,694
23461,2015,Anderson Varejao,C,,,,,32,CLE,26,26,636,17.7,0.58,0.01,0.225,10.4,20.1,15.3,9.1,1.6,2,13.7,18.1,,1.2,0.7,1.9,0.145,,0,1,0.9,0.5,111,200,0.555,0,2,0,111,198,0.561,0.555,33,45,0.733,57,113,170,35,19,16,1,0.54,35,58,255
23015,2015,Andre Dawkins,SG,192.5,R,96.75,26.10895598,23,MIA,4,0,22,-5,0.25,1,0,0,10.7,5.5,6.6,0,0,14.3,15,,-0.1,0,-0.1,-0.172,,-7.5,-3.9,-11.5,-0.1,1,6,0.167,1,6,0.167,0,0,,0.25,0,0,,0,2,2,1,0,0,1,0,1,3,3
23036,2015,Andre Drummond,C,192.5,7,94.5,25.50177096,21,DET,82,82,2502,21.4,0.504,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,,3.4,4.3,7.7,0.147,,-1.2,1.1,-0.2,1.2,494,961,0.514,0,2,0,494,959,0.515,0.514,142,365,0.389,437,667,1104,55,73,153,1.11,0.35,120,285,1130
23145,2015,Andre Iguodala,SF,195,10,96.75,25.44378698,31,GSW,77,0,2069,12.3,0.553,0.427,0.23,2.4,10.8,6.7,14.6,2.1,0.9,13.9,13.3,,2.3,2.8,5.1,0.117,,0.1,1.5,1.6,1.9,231,496,0.466,74,212,0.349,157,284,0.553,0.54,68,114,0.596,44,213,257,228,89,25,2.59,1.01,88,100,604
23254,2015,Andre Miller,PG,187.5,15,90,25.6,38,TOT,81,0,1253,13.3,0.548,0.117,0.266,3.4,10.2,6.9,34.5,1.3,0.4,24.3,15.3,,1.4,0.8,2.2,0.084,,-1.2,-1.8,-3,-0.3,145,290,0.5,7,34,0.206,138,256,0.539,0.512,58,77,0.753,37,116,153,284,32,6,2.73,0.31,104,103,355
23359,2015,Andre Roberson,SG,197.5,5,94.05,24.11152059,23,OKC,67,65,1286,9.1,0.513,0.423,0.239,5.1,16,10.6,7.4,2.1,1.8,17.2,9,,0.5,1.6,2.1,0.079,,-1.8,2.1,0.3,0.7,92,201,0.458,21,85,0.247,71,116,0.612,0.51,23,48,0.479,60,195,255,70,53,29,1.31,0.9,46,141,228
22901,2015,Andrea Bargnani,C,210,8,110.25,25,29,NYK,29,22,785,16.6,0.527,0.114,0.296,4.6,14.4,9.3,11.3,0.1,2.9,9.3,26.4,,0.8,0.2,0.9,0.058,,-1,-2.7,-3.7,-0.3,164,361,0.454,15,41,0.366,149,320,0.466,0.475,87,107,0.813,32,95,127,46,2,27,1.1,0.05,42,53,430
23191,2015,Andrei Kirilenko,SF,202.5,12,99,24.14266118,33,BRK,7,0,36,2.8,0.222,0,0.8,6.2,18.6,12.5,3.6,1.4,0,12.9,9.8,,-0.1,0,0,-0.058,,-8.1,-0.2,-8.3,-0.1,0,5,0,0,0,,0,5,0,0,3,4,0.75,2,6,8,1,1,0,1,1,1,1,3
22929,2015,Andrew Bogut,C,210,9,117,26.53061224,30,GSW,67,65,1583,15.8,0.565,0,0.118,9.9,26.5,18.5,15.4,1.2,5.3,22.1,13.2,,1.9,3.4,5.2,0.159,,-1.4,5.5,4.1,2.4,200,355,0.563,0,0,,200,355,0.563,0.563,22,42,0.524,141,402,543,180,39,113,1.7,0.37,106,188,422
